a,ひとつの 
characteristic,特徴 
charity,博愛 
charm,魅力 
cheat,人をだます 
cheerleader,チアリーダー 
chef,コック長 
chemist,化学者 
chemistry,化学 
chess,チェス 
chew,食物をかむ 
chiefly,主として 
childish,子供らしい 
chill,寒気 
chop,～をたたき切る 
chosen,chooseの過去分詞 
Christian,キリスト者 
circuit,回ること 
circumstance,情況 
civil,市民の 
clap,ピシャリという音 
classical,古典の 
clip,～を切る 
closet,戸棚 
coach,大型四輪馬車 
cock,円すい形の山 
code,法典 
collapse,家・いすなどがつぶれる 
colony,植民地 
column,円柱 
combine,～を結合する 
comedy,喜劇 
command,～を命令する 
commerce,商業 
commission,委員会 
commit,罪・過失などを犯す 
comparison,比較 
compete,競う 
competitor,競争相手 
complicated,複雑 
component,構成している 
composer,作曲家 
compound,要素・成分などを混ぜ合わせる 
concentrate,集中 
concentration,濃度 
concerned,関係のある 
concerning,～について 
conclude,演説・論文・会合を終わりにする 
conclusion,終わり 
conference,会議 
confess,罪・秘密などを白状する 
confession,自白 
confident,確信している 
conflict,争い 
congress,大会 
conquer,敵の領土を征服する 
conscience,良心 
consciousness,意識 
consequence,当然の 
consideration,考察 
consist,団体・物・事が成る 
constant,不変の 
constantly,絶えず 
constitution,憲法 
construct,～を組み立てる 
construction,建設 
container,容器 
contest,争い 
context,前後関係 
contrary,板抵の 
contrast,を対照させる 
contribution,貢献 
convenience,便利 
convention,会議 
conventional,従来の 
convince,納得させる 
convinced,確信している 
cooperation,協力 
cop,警官 
cord,綱 
corporate,法人組織の 
corporation,社団法人 
correctly,正しく 
cosmos,宇宙 
cottage,小さな家 
council,諮問会 
counter,売り台 
countryman,同胞 
county,郡 
coward,おくびょう者 
craft,技能 
crawl,はう 
creep,動物・昆虫などがはう 
crisis,重大な事態 
critical,評論の 
criticism,批評 
criticize,～を非難する 
crossing,横断 
crossword,クロスワードパズル 
crow,おんどりのかん高い鳴き声 
cruelty,残酷 
crystal,水晶 
cultural,文化的な 
curiosity,好奇心 
curious,好奇心の強い 
current,通用している 
cute,かわいい 
cutting,切ること 
dam,母親 
darling,最愛の 
dash,突進する 
deadly,致命的な 
dealer,商人 
debate,討論 
debt,借金 
decade,十年間 
decay,腐る 
deceive,人を欺く 
declare,～を宣言する 
decline,～を断る 
decorate,～を飾る 
deed,行為 
define,語・句を定義する 
definite,一定の 
definitely,きっぱりと 
definition,定義 
delicate,繊細な 
delivery,配達 
demonstrate,実証 
depart,立ち走る 
departure,立ち去ること 
dependent,依存している人 
deposit,貴重品などを預ける 
descend,下る 
desirable,望ましい 
despair,絶望 
despite,～にもかかわらず 
dessert,デザート 
destination,目的地 
destruction,破壊行為 
detailed,詳細にわたる 
detective,刑事 
determination,決定 
determined,決心した 
developing,発達中の 
differ,違う 
digest,食物を消化する 
digital,指の 
disadvantage,不利 
disagree,物事が一致しない 
disaster,災害 
discipline,訓練 
discourage,人を落胆させる 
distinct,別の 
distinguish,～を区別する 
distribute,～を分配する 
dive,頭から飛び込む 
diver,水に飛び込む人 
division,分けること 
doorbell,玄関の呼びリン 
doorway,戸口 
dot,点 
draft,下絵 
drag,重い物を引きずる 
dragon,竜 
dressing,着付け 
dried,dryの過去・過去分詞 
drift,漂流 
drinker,酒飲み 
driving,推進する 
dumb,物の言えない 
dusty,ほこりっぽい 
dynamic,動力の 
echo,反響音 
edition,版 
editor,編集者 
efficiency,能率 
efficient,能率的な 
elderly,中年を過ぎた 
electrical,電気に関する 
electrician,電気技師 
electronic,電子の 
emerge,出てくる 
emergency,非常事態 
emotional,感情の 
emperor,皇帝 
emphasis,強調 
emphasize,～を強調する 
empire,帝国 
enable,物事が～に可能にする 
enclose,～を囲む 
encounter,～に偶然出会う 
endless,無限の 
endure,～に耐える 
engage,積極的な関心を持つ 
engaged,忙しい 
engagement,婚約 
enjoyable,楽しろい 
enjoyment,楽しむこと 
enormous,莫大な 
enterprise,事業 
enthusiasm,熱中 
enthusiastic,熱狂的な 
entry,入ること 
envy,ねたみ 
episode,挿話的なでき事 
era,時代 
essence,本質 
essentially,本質的に 
establishment,設立 
estate,地所 
estimate,～を見積る 
eve,前夜 
eventually,最終的に 
evident,明白な 
excess,超過 
exhibit,感情・性質などを表す 
exhibition,表すこと 
existence,存在 
existing,生存する 
expand,拡大する 
expectation,期待 
explode,火薬など爆発物が爆発する 
explosion,爆発 
expose,暴露 
extend,距離・期間などを延ばす 
extension,拡大すること 
extent,広がり 
external,外側の 
extraordinary,臨時 
extreme,極度の 
factor,要因 
fade,衰える 
faint,かすかな 
faithful,義務を遂行する 
fallen,fallの過去分詞 
fame,名声 
farming,農業の 
farthest,最も遠い 
fasten,～を固定する 
fatal,運命の 
fate,運命 
favorable,好意的な 
fearful,恐ろしい 
fiction,作り話 
filter,ろ過器 
finding,発見すること・発見物 
finishing,仕上げ 
fist,こぶし 
fitting,適切な 
flame,炎 
flavor,風味 
flee,逃げる 
flesh,肉 
flying,飛ぶ 
focus,焦点 
fold,折りたたみ 
forecast,予報 
formation,形成 
formerly,以前は 
fort,とりで 
founder,船が沈没する 
frankly,率直に 
freely,自由に 
frequent,しばしば起こる 
frequently,しばしば 
fried,fryの過去・過去分詞 
frontier,国境 
frost,霜 
fundamental,根本的な 
gallery,回廊 
gamble,かけごとをする 
gangster,犯罪組織の一員 
gardener,植木屋 
gay,陽気な 
generous,気前のよい 
genius,天才 
gesture,身ぶり 
ginger,ショウガ 
globe,球 
glory,光栄 
glow,赤々と燃える 
goddess,女神 
goodness,優秀さ 
govern,統治する 
gradual,ゆるやかな 
grain,粒 
grandparent,祖父母 
grasp,～をしっかり握る 
greedy,どん欲な 
grief,深い悲しみ 
grocer,食料品雑貨商人 
gross,全体の 
guarantee,保証 
guidance,指導 
guidebook,案内書 
guilt,有罪 
gulf,湾 
halfway,中途半端な 
handbook,手引き 
handful,一握り 
hanging,絞首刑 
harmful,有害な 
harsh,不快な 
harvest,収穫 
haste,急ぎ 
hatred,憎しみ 
heal,傷などを直す 
healing,治す 
heater,暖房装置 
heating,加熱 
heavily,重く 
helping,助力 
heroic,英雄的な 
hesitate,ためらう 
hidden,隠された 
hiding,むちで打つこと 
hillside,丘の中腹 
historical,史実に基づく 
hockey,陸上ホッケー 
holding,しっかり握ること 
hollow,空洞のある 
homeless,ホームレスの 
honestly,正直に 
honesty,正直 
honeymoon,新婚旅行 
hood,ずきん 
hop,人が片足でぴょんぴょんと跳ぶ 
horseback,馬の背 
hostess,女主人 
household,家中のもの 
humanity,人間性 
humble,低い 
hunting,狩り 
hut,小屋 
identity,同一視する 
idle,働いていない 
ignorance,無学 
ignorant,知識がない 
illegal,非合法的な 
illustration,例 
imitate,～を見習う 
immense,広大な 
imperial,帝国の 
impose,重荷・税金などを課する 
impressive,印象的な 
impulse,衝動 
incident,起こりやすい 
increasingly,ますます 
independence,独立 
indicate,の印である 
inevitable,避けられない 
infant,乳児 
inherit,財産・権利・称号などを相続する 
initial,最初の 
injure,～を傷つける 
injured,傷つけられた 
inn,宿屋 
innocent,無罪の 
inspire,人を鼓舞する 
instance,例 
instinct,満ちた 
institute,学校・政府・規則などを設ける 
instruct,～に知識を与える 
insult,人・物などを侮辱する 
intellectual,知的な 
intense,激しい 
intent,一心に向けた 
interfere,干渉する 
interior,内部 
internal,内側の 
interpreter,インタプリーター 
interval,間の時間 
invade,敵が～に侵入する 
invention,発明 
invest,金などを投資する 
investigate,問題・事件などを調べる 
investigation,捜査 
investment,投資すること 
invisible,目に見えない 
involve,～を伴う 
involved,複雑な 
jealousy,しっと 
jewelry,装身具類 
journalism,ジャーナリズム 
joyful,とてもうれしい 
judgment,判断力 
jumper,ジャンパー 
justify,人の行為・話などを正当化する 
keeper,守る人 
kidnap,人を誘拐する 
kindergarten,幼稚園 
kneel,ひざまずく 
knight,騎士 
knot,結び目 
knowing,知ったかぶりの 
lace,ひも 
landscape,風景 
latter,後半の 
laughter,笑い 
launch,ボートを水面に降ろす 
laundry,洗濯物 
layer,積む人 
leap,ぴょんと飛ぶ 
learner,学習者 
legislation,立法 
liar,うそをつく人 
liberal,自由主義の 
lifeless,生物のいない 
lifelong,終生の 
lifetime,生涯 
limb,手足 
limited,限られた 
linen,リネン 
lipstick,口紅 
liquid,液体 
literary,文学の 
lively,生気にあふれた 
lobby,ロビー 
locate,～の位置を突きとめる 
lodge,小屋 
log,丸太 
logic,論理学 
logical,道理にかなった 
luckily,幸いにも 
luxury,ぜいたく 
lying,lieの現在分詞 
machinery,機械 
madness,狂気 
magical,魔法の 
magician,魔法使い 
magnet,磁石 
maid,少女 
maintenance,維持 
making,作ること 
manual,手でする 
manufacture,製造 
marble,大理石 
marine,海の 
marked,印のついた 
marvelous,驚嘆すべき 
mast,マスト 
mature,成熟した 
maximum,最大限 
mayor,市長 
meadow,牧草地 
meanwhile,ところで 
measurement,測定 
mechanical,機械の 
mechanism,機械 
medium,中間にあるもの 
mend,～を直す 
mercy,慈悲 
mere,ほんの 
merrily,愉快に 
mess,雑然としていること 
messenger,使いの者 
mighty,強力な 
mill,製粉所 
millionaire,百万長者 
minimum,最小限 
minority,少数 
miracle,奇跡 
miserable,みじめな 
misery,みじめさ 
mist,かすみ 
mistress,女主人 
misunderstand,勘違い 
mixed,のものが混ざった 
mode,方法 
modest,謙そんした 
monitor,訓戒者 
monument,記念碑 
muddy,泥をかぶった 
multiply,～を増す 
mutual,相互の お互いに対する 
namely,すなわち 
nap,けば 
nasty,むかつくような 
nationality,国籍 
nearby,すぐ近くの 
necessarily,必ずしも 
negotiation,取り決め 
nevertheless,それでもなお 
newly,最近 
normally,習慣に従って 
northeast,北東 
northwest,北西 
notion,心に思うこと 
nowadays,このごろは 
nuclear,核の 
nursing,養育する 
oak,オークの木 
oasis,オアシス 
obedient,従順な 
obey,人に服従する 
obtain,～を得る 
obviously,明らかに 
occasional,時々の 
occasionally,時折 
occupation,職業 
oily,油の 
openly,公然と 
opposition,反対すること 
organize,物事を系統だてる 
origin,起源発端 
originally,もとは 
outcome,結果 
outdoors,戸外で 
outer,外に 
outline,輪郭 
output,出した物 
outstanding,発行済 
outward,外側へ 
overall,全部の 
overcome,～に打ち勝つ 
overlook,～を見落とす 
overseas,海を越えて 
owl,フクロウ 
ox,雄牛 
oxygen,酸素 
packet,包み 
panel,はめ板 
panic,あわてふためき 
paragraph,区切り 
parallel,平行な 
parliament,議会 
parrot,オウム 
partial,一部分の 
passing,たいへん 
passive,受動的な 
pavement,舗装 
peasant,農夫 
peculiar,特有の 
penalty,刑罰 
perceive,～を知覚する 
personally,自分自身で 
persuade,人を説得する 
philosophy,哲学 
physician,医者 
pine,松 
pioneer,開拓者 
pit,核 
pitch,～を投げる 
planner,計画者 
plot,小区画の土地 
poisonous,有毒な 
pollution,汚すこと 
poorly,貧しく 
popularity,人気 
porter,運搬人 
portion,部分 
portrait,肖像画 
possession,所有 
postal,郵便の 
poster,ポスター 
postpone,～を延期する 
potential,可能性のある 
poverty,貧乏 
preach,説教する 
precise,正確な 
preparation,用意 
preserve,～を守る 
pressing,緊急の 
previously,以前に 
primary,第一の 
primitive,原始的な 
priority,優先順位 
privacy,他人から干渉されない状熊 
privilege,特権 
procedure,進行 
proceed,取りかかる 
profitable,有益な 
prolong,～を延ばす 
promote,～を助長する 
promotion,昇進 
pronounce,単語・文・音を発音する 
pronunciation,発音 
proportion,割合 
prose,散文的な 
prospect,光景 
prosperity,繁栄 
proudly,威張って 
province,州 
publication,出版 
publicly,公に 
puppy,子犬 
purchase,～を買う 
purely,全く 
pursue,獲物・犯人などを迫う 
pursuit,追うこと 
quantity,量 
quit,～をやめる 
radical,根本的な 
rage,激怒 
rating,格づけ 
rattle,ガタガタ音を立てる 
razor,かみそり 
readily,快く 
realistic,現実主義の 
rear,背後 
rebel,反逆者 
recall,～を思い出す 
receiver,受取人 
reception,受け取ること 
recognition,見て気がつくこと 
recommendation,勧告 
recording,レコーディング 
recovery,取り戻すこと 
reduction,減らすこと 
reference,言及すること 
regarding,～に関して 
region,地域 
regularly,規則正しく 
rejoice,喜ぶ 
related,関係のある 
relatively,比較的 
relaxed,緊張・力などをゆるめる 
remark,簡単な発言 
remarkable,注目すべき 
remote,遠い 
repay,～を返す 
repeated,繰り返して言われる 
replacement,交換 
representative,代表者 
republic,共和国 
reputation,評判 
requirement,要件 
rescue,～を救う 
resemble,に生き写しである 
residence,住宅 
resident,居住者 
resist,～をこらうる 
resistance,抵抗すること 
resolution,決心すること 
resolve,～を決心する 
resort,やむを得ず訴える 
resource,資源 
restore,～を復活させる 
restrain,感情・行動などを抑える 
restraint,抑制すること 
retain,～を持ち続ける 
retired,引退した 
reveal,明らかにする 
revenge,受けた危害・悔辱などに復讐する 
reverse,逆の 
rewrite,～を書き直す 
rifle,場所・入れものなどをくまなく捜して金品を持っていく 
ripe,成熟した 
ruling,支配する 
rural,いなかの 
sacrifice,いけにえをささげること 
sadness,悲嘆 
saint,聖人 
salmon,サケ 
salty,塩のきいた 
satisfaction,満足度 
satisfied,満足した 
scandal,醜聞 
scarcely,ほとんど～ない 
scare,～をおびえさせる 
scared,おびえた 
scatter,～をばらまく 
scenery,風景 
scent,におい 
scheme,計画 
scholar,学者 
scholarship,奨学金 
scold,人をしかる 
scout,申し出・意見などを軽べつしてはねつける 
scratch,～をひっかく 
seal,印 
searching,油断のない 
secondary,第2の 
secretly,内密に 
sector,産業部門 
secure,安定した 
seize,～をぐいとつかむ 
sensation,感覚 
session,会議 
settlement,解決 
severe,厳しい 
sew,縫い物をする 
shallow,浅い 
shelter,保護 
shepherd,羊飼い 
shield,盾 
shift,人・場所・位置などを移し替える 
shocked,穀類の刈り束 
shortage,不足 
shortly,まもなく 
sidewalk,歩道 
significant,重要な 
sin,sine 
site,場所 
skier,スキーヤー 
skillful,熟練した 
skip,主将 
sleeve,そで 
slim,ほっそりとした 
slipper,スリッパ 
smash,～を粉々にする 
snack,軽食 
snap,パチンと音をたてる 
software,ソフトウェア 
solution,解くこと 
sooner,よりはやく 
sorrow,悲しみ 
source,水源地 
southeast,南東 
southwest,南西 
spade,スペードの札 
spark,火花 
species,種 
spectacle,光景 
spill,付け木 
spiritual,精神的な 
spite,悪意 
splendid,壮麗な 
spokesman,スポークスマン 
sponge,海綿動物 
sponsor,保証人 
spoonful,さじ1杯 
spray,小枝 
squeeze,～を絞る 
stable,馬小屋 
stake,くい 
stall,馬小屋の一仕切り 
stare,じっと見つめる 
starve,餓死する 
status,地位 
steamer,汽船 
steep,～を浸す 
stem,茎 
stew,食物をとろ火で煮る 
sticky,ねばねばした 
sting,動植物が～を刺す 
stir,～をかき混ぜる 
stormy,あらしの 
strain,～を引っ張る 
strangely,奇妙に 
strictly,厳格に 
striking,めざましい 
strip,細長い一片 
strongly,頑丈に 
stylist,文章家 
submit,屈服する 
substance,物質 
suburb,郊外 
summit,履上 
sunflower,ヒマワリ 
surrender,～を引き渡す 
surrounding,周辺地域 
survey,景色などを見渡す 
sword,刀 
sympathetic,交感神経 
tablespoon,食卓用スプーン 
tame,飼いならされた 
task,仕事 
technological,技術 
telling,手ごたえのある 
temptation,誘惑 
tendency,傾向 
tender,～を提出する 
tense,時制 
tension,ぴんと張ること 
territory,地域 
terror,恐怖 
thickly,濃く 
thirst,のどの渇き 
thorough,完全な 
thoroughly,すっかり 
thousandth,1000番目の 
thrill,ぞくぞくする感じ 
tide,潮の干満 
tidy,きちんとした 
timely,適時の 
token,しるし 
tomb,墓 
trace,引き革 
tractor,トラクター 
trail,～の後について行く 
trainer,訓練する人 
translation,翻訳 
transportation,交通機関 
treatment,取り扱い 
treaty,再保険特約 
tribe,部族 
triple,3倍の 
triumph,勝利を収める 
tropical,熱帯の 
turning,回転 
tutor,家庭教師・講師 
uncertain,確信が持てない 
unclear,はっきりしない 
uncomfortable,不快 
underline,語句に下線を引く 
undoubtedly,間違いなく 
unfortunately,不運にも 
unite,結合する/させる 
united,一致協力した 
universal,すべての人々の 
unkind,不親切な 
unlikely,ありそうもない 
unnecessary,不必要な 
upright,まっすぐに立った 
upward,上のほうへ 
urge,人・馬などを駆り立てる 
urgent,急を要する 
vain,虚栄心の強い 
van,先頭 
vanilla,熱帯産のラン科のつる植物 
vanish,見えなくなる 
variation,変化すること 
vary,変わる 
venture,危険な企て 
verse,一節 
version,翻訳 
vessel,船 
via,～経由でで 
vice,～の代りに 
villager,村人 
virtue,美徳 
visible,明白な 
volunteer,志願者 
voyage,航海 
wander,あてもなく歩き回る 
warmly,暖かく 
warmth,暖かさ 
weaken,weaken: 
weave,織物を織る 
web,巣 
weed,雑草 
welfare,幸福 
whip,むち 
whisper,ささやく 
wicked,悪い 
width,広さ 
wilderness,荒れ地 
wildlife,野生生物 
willingly,喜んで 
windy,風の吹く 
wink,目くばせする 
wisdom,賢いこと 
worn,wearの過去分詞 
worrying,悩みの種となる 
worthy,値する 
yawn,あくびをする 
yearly,年々の 
yield,～を産出する 
youngster,青年 
youthful,若い 
abandon,車・船・家などを捨て去る 
abandoned,見捨てられた 
abolish,無効にする 
absurd,道理に合わない 
abundance,たくさん 
abundant,大量の 
academy,学士院 
accidental,偶然の 
accommodation,人に便宜をはかる 
accomplished,達成 
accomplishment,達成 
accordingly,従って 
accurately,きちんと 
accused,告訴告発された 
accustom,人・自分・動物を慣らす 
accustomed,慣れて 
acquaint,知り合いになる 
acquisition,取得すること 
acute,鋭い 
adventurer,冒険家 
adventurous,冒険 
advertise,～を広告する 
advertising,広告 
aggressive,積極的な 
agony,苦悶 
agreeable,気持ちの良い 
aisle,座席間の通路 
alert,油断のない 
alliance,同盟 
alligator,ワニ 
allowance,協定損害率 
ambassador,大使 
animation,活気 
annoy,物事が～を困らせる 
antenna,触角 
anticipate,～を予想する 
apparatus,器具 
appreciation,感謝 
approximately,近似的に 
arcade,拱廊 
arched,アーチ形の 
architect,建築家 
architecture,アーキテクチャ 
arena,闘技場 
arithmetic,算数 
armed,武装した 
armor,よろい 
ascend,登る 
aspirin,アスピリン 
assemble,人・物を集める 
assembly,集会 
assign,物・仕事などを割り当てる 
assignment,割り当てられた仕事 
assumption,引き受けること 
assurance,保証 
astonish,～をびっくりさせる 
astonishing,驚くべき 
attain,目的・望みなどを達成する 
attendant,付き添いの 
auto,車 
awareness,気づいていること 
awe,畏敬 
awkward,扱いにくい 
ballet,バレエ 
ballpoint,ボールペン 
bang,おかっばにした前髪 
barn,納家 
barrier,さく 
beaten,beatの過去分詞 
beating,打つこと 
beetle,大づち 
behalf,大義 
belly,腹 
belonging,属する 
bent,bendの過去・過去分詞 
biological,生物学の 
biologist,生物学者 
biology,生物学 
blaze,～を知ららる 
blond,金髪で色白の 
blueberry,ブルーベリー 
boredom,退屈 
borrower,借手 
boyhood,少年時代 
bra,ブラジャー 
bracelet,腕輪 
bravely,勇敢に～りっぱに 
breadth,幅 
breaker,砕く人 
breathing,呼吸 
brim,縁 
broadcasting,放送 
broke,breakの過去形 
bronze,青銅 
brutal,けものの 
bug,昆虫 
bulb,球根 
bulk,かさばっていること 
bump,衝突 
bundle,束 
bureau,たんす 
burglar,夜盗 
burning,燃えている 
calculation,見積もり 
calf,子牛 
calorie,グラムカロリー 
candidate,候補者 
canvas,～を念入りに調べる 
cape,みさき 
capitalism,資本主義 
capitalist,資本主義者 
carelessly,不注意に 
caring,自動車電車 
carve,～を刻んで作る 
catcher,捕らえる人 
cathedral,大寺院 
Catholic,ローマカトリック教会の 
cautious,注意深い 
cease,中止する 
cereal,穀物 
challenging,意欲をそそる 
chamber,部屋 
championship,チャンピオンシップ 
chaos,混とん 
charming,魅力的な 
charter,特許状 
chat,雑談 
chip,木の切れ端 
chorus,合唱団 
Christianity,キリスト教 
cider,シードル 
circular,円形の 
civilian,一般市民 
civilization,文明 
civilize,個人・社会などを文明化する 
clay,粘土 
click,カチリという音 
climax,細高潮部 
clover,クローバー 
clue,手がかり 
coconut,ココヤシの実 
coffeehouse,喫茶店 
colleague,同僚 
colonial,植民地の 
colonist,植民者 
combat,戦い 
comedian,喜劇俳優 
commander,司令官 
commitment,献身 
commonly,一般に 
communist,共産主義者 
competitive,競争力 
compose,～を構成する 
comprehension,理解 
compromise,妥協 
conceal,物を隠す 
conceive,考え 
concentrated,集中 
concept,概念 
concrete,具体的な 
condemn,人・過失などを非難する 
condense,気体などを凝縮する 
conductor,指導者 
confine,～を制限する 
confront,人が危険・問題・相手などに立ち向かう 
confuse,を混同する 
confused,困惑した 
confusing,乱混させるような 
confusion,混乱 
congratulations,お祝い 
conqueror,征服者 
conquest,征服 
consensus,大多数の意見 
consent,同意する 
consequently,当然に 
conservation,保全 
conservative,保守 
considering,検討 
consistent,矛盾のない 
constitute,物を構成する 
consult,～に頼る 
consultant,専門的助言をする人 
consume,物・時間・金などを消費する 
consumer,情費者消費する物 
consumption,消費 
contemporary,現代 
contempt,軽べつ 
continuous,連続的な 
contribute,金銭などを寄付する 
convert,～を変える 
convey,～を運ぶ 
conviction,信念 
cooker,料理用電気器具 
cope,コープ 
copper,銅 
core,しん 
corridor,廊下 
coupon,クーポン 
courageous,勇気 
cradle,揺りかご 
creamy,クリーム状の 
creativity,独創性 
cricket,クリケット 
critic,評論家 
crocodile,わに 
crossroad,交差道路 
crosswalk,横断歩道 
crucial,決定的な 
cube,立方体 
cucumber,キュウリ 
cultivate,土地を耕す 
cunning,ずるい 
currency,通貨 
currently,現在 
dairy,酪農場 
daisy,ヒナギク 
damn,～をけなす 
damp,湿気 
daring,大胆な 
darken,～を暗くする 
darkly,暗く 
daylight,日光 
deadline,最終期限 
dealing,交際関係 
dearly,愛情をもって 
decided,明白な 
declaration,宣言 
decoration,装飾 
defect,欠点 
delightful,喜びを与える 
democrat,民主主義者 
demonstration,デモ 
dense,密集した 
depression,意気消沈 
deprive,人から奪う 
derive,～を引き出す 
desperate,自暴自棄の 
desperately,死にもの狂いに 
despise,～を軽べつする 
destiny,運命 
destructive,破壊的な 
detect,物事の存在を感知する 
developed,～を生じさせる 
developer,開発者 
devote,生涯・労力・時間などをささげる 
devotion,深い愛情 
dignity,尊厳 
diligent,勤勉な 
dim,薄暗い 
dine,正餐をとる 
dinosaur,恐竜動物の総称 
dip,～をちょっと浸す 
diplomatic,外交の 
disappointed,がっかり 
discharge,船の荷を降ろす 
disco,discotheque 
disgrace,不名誉 
disguise,人 
disgust,人に吐き気を催させる 
disgusting,むかつくような 
dishwater,食器を洗った後の汚れ水 
disorder,無秩序 
dispose,～を配置する 
dispute,～を議論する 
dissolve,～を溶かす 
distinction,区別 
distinctly,はっきりと 
distinguished,識別 
distress,激しい苦しみ 
disturb,～をかき乱す 
divorce,離婚 
dock,被告席 
dolphin,イルカ 
dominant,支配的な 
dominate,～を支配する 
donkey,ロバ 
doorstep,戸口の上がり段 
doubtful,疑わしい 
doubtless,疑いなく 
dove,diveの過去形 
downward,下の方へ 
drain,～から排出する 
drawn,drawの過去分詞 
dread,～を非常にこわがる 
dresser,化粧台 
dressmaker,婦人服の仕立屋 
drier,dryの比較級 
drip,液体がしたたる 
dwell,住む 
dye,染まる 
dying,dieの現在分詞 
eagerly,熱心に 
eagerness,熱心 
earnest,印 
earning,稼ぎ 
earthly,この世の 
Easter,復活祭 
economical,節約する 
economist,エコノミスト 
edit,～を編集する 
educated,教育のある 
educator,教育者 
effectively,有効に 
elective,選挙で選ばれた 
electronics,電子工学 
elegant,優雅な 
elementary,初歩の 
elite,エリート 
embarrass,人のまごつかせる 
embarrassing,恥ずかしい 
embassy,大使館 
emotionally,感情的に 
enlarge,範囲を広げる 
ensure,物事が成功などを保証する 
entertainer,もてなす人 
entitle,本などに表題をつける 
environmental,環境 
equality,等しいこと 
erase,文字などをふいて消す 
erect,直立した 
errand,使い 
esteem,物事を尊重する 
eternal,永遠の 
ethnic,民族の 
evaluate,～を評価する 
evaluation,評価 
evidently,明らかに 
evolution,発展 
exaggerate,～を誇張する 
exceed,～の限度・範囲などを越える 
excessive,度を越した 
exclaim,～を叫ぶ 
exclude,～を除外する 
executive,実行の 
exhaust,人を疲れ果てさせる 
exhausted,疲れ果てた 
expansion,拡大 
expedition,遠征 
experienced,経験豊富な 
experimental,実験 
exploration,探検 
exposure,さらすこと 
extensive,広い 
exterior,外の 
facial,顔の 
facility,容易さ 
fairness,美しさ 
faithfully,忠実に 
famine,ききん 
fantastic,異様な 
fantasy,空想 
farewell,さらば 
farmhouse,農場内の家屋 
fascinating,魅惑的な 
fastener,留め具 
feast,祝祭 
federal,連邦の 
ferry,渡し船 
fertile,肥沃な 
fetch,物を取って来る 
fiber,繊維 
fierce,気性が荒々しい 
fighter,戦う人 
finely,りっぱに 
flashlight,懐中電灯 
flatter,人におせじをいう 
flexible,曲げられる 
flourish,文化などが栄える 
flu,インフルエンザ 
fluent,流ちょうにしゃべれる 
foam,泡のかたまり 
folder,紙ばさみ 
follower,後から来る人 
footprint,フットプリント 
footstep,足音 
forbid,～することを許さない 
forbidden,forbidの過去分詞形 
forced,無理に作った 
forehead,額 
forgetful,忘れやすい 
format,体裁 
freeway,高速道路 
frequency,しばしば起こること 
freshman,新入生 
frightening,ぎょっとさせる 
frown,しかめづら 
frozen,freezeの過去分詞 
fruitful,よく実のなる 
frustration,失敗 
fulfill,命令・約束などを果たす 
furnish,家・部屋などに家具を備え付ける 
gallop,ギャロップを走らせること 
garbage,生ごみ 
garment,衣服のうちの一品 
gaze,じっと見つめる 
gear,歯車 
generously,気前よく 
genuine,本物の 
giraffe,ジラフ 
gleam,きらめき 
gloomy,暗い 
glorious,光栄ある 
golfer,ゴルフをする人 
gown,ガウン 
grab,～をぎゅっとつかむ 
graceful,優雅な 
graduation,卒業 
graph,グラフ 
graphic,絵を見るような 
greenhouse,温室 
grieve,悲しむ 
grim,険しい 
grin,歯を見せてにやりと笑う 
grind,穀物などをひく 
groan,うなり声 
grocery,食料品雑貨店 
guideline,指針 
guitarist,ギタリスト 
gum,ガム 
hairdresser,美容院 
halt,停止 
handling,取扱い 
hanger,物をつるす道願 
hardness,堅さ 
hardware,ハードウェア 
harmless,損害をうけない 
harmonica,ハーモニカ 
hasten,～を急がせる 
hastily,あわてて 
hasty,急ぎの 
hay,干し草 
heading,あたまとなるもの 
headline,見出し 
headphone,ヘッドフォン 
headquarters,本部 
heap,山 
heavenly,天の 
hedge,生け垣 
heir,相続人 
herd,群れ 
heroine,女性の英雄 
highlight,最も明るい部分 
hike,ハイキングする 
hilltop,丘の頂上 
historian,歴史家 
historic,歴史に残る 
hitchhike,通りがかりの自動車に無料で便乗して旅行する 
homesick,ホームショクの 
honorable,りっぱな 
horizontal,水平線の 
horseman,騎手 
housekeeper,家政婦 
housekeeping,ハウスキーピング 
howl,犬・オオカミなどが遠ぼえする 
hug,～を抱き締める 
humorous,こっけいな 
hurricane,リリケーン 
iced,氷に覆われた 
icy,氷の 
ideally,理想的に 
idiot,白痴 
illusion,思い込み 
illustrate,～を説明する 
imaginary,想像上の 
imaginative,想像力に富む 
imitation,見習うこと 
immensely,広大に 
immigrant,帰化植物 
impatient,我慢しきれない 
imperfect,ある部分を欠く 
implement,実施する 
imply,～をほのめかす 
incline,心が傾く 
inclined,傾向がある 
incredible,信用出来ない 
independently,独立して 
indirect,真っすぐでない 
industrious,勤勉な 
infection,伝染 
inferior,下の 
inflation,インフレーション 
influential,影響を及ぼす 
inhabit,に存在する 
inhabitant,住んでいる人 
initially,初期に 
input,投入 
inquire,～を尋ねる 
insider,会員 
inspect,～を検査する 
inspector,視察官 
inspiration,うまい思い付き 
install,装置などを取り付ける 
instantly,ただちに 
instructor,教師 
insure,～を保証する 
interpret,物事を解釈する 
interviewer,面接する人 
invasion,侵入 
inventor,発明者 
investor,投資家 
inward,内側へ 
irony,皮肉 
isolated,孤立した 
ivory,象牙製の 
jealously,油断なく 
